Year;Grade Level;Student Number;Finalgradename;Grade;Course Name;Section number
2023-2024;9;24243;Y1;2.6;Español 8;H
2023-2024;9;24243;Y1;2.8;BE BOLIVAR 8;A
2023-2024;9;24243;Y1;3.6;Expresión 8;A1
2023-2024;9;24243;Y1;2.5;INTEGRATED MATH 1 HONORS;E
2023-2024;9;24243;Y1;2.7;ENGLISH 8;D
2023-2024;9;24243;Y1;3.6;ART 8;A2
2023-2024;9;24243;Y1;3.5;ICT 8;A
2023-2024;9;24243;Y1;2.4;SOCIAL STUDIES 8;G
2023-2024;9;24243;Y1;3.1;SCIENCE 8;B
2023-2024;9;24243;Y1;3.5;HEALTH 8;C2
2023-2024;9;24243;Y1;P;RELIGION;A
2023-2024;9;24243;Y1;2.8;Educación Física 8;F5
2023-2024;9;24243;Y1;2.8;Filosofia - Etica 8;C1
2023-2024;9;24422;Y1;2.9;Español 8;B
2023-2024;9;24422;Y1;3.5;BE BOLIVAR 8;A
2023-2024;9;24422;Y1;3.8;Teatro Musical 8;A2
2023-2024;9;24422;Y1;2.6;INTEGRATED MATH 1;C
2023-2024;9;24422;Y1;2.9;ENGLISH 8;D
2023-2024;9;24422;Y1;3.4;ART 8;A1
2023-2024;9;24422;Y1;3.6;ICT 8;A
2023-2024;9;24422;Y1;3.0;SOCIAL STUDIES 8;G
2023-2024;9;24422;Y1;3.3;SCIENCE 8;H
2023-2024;9;24422;Y1;3.6;HEALTH 8;E2
2023-2024;9;24422;Y1;P;RELIGION;A
2023-2024;9;24422;Y1;3.5;Educación Física 8;F3
2023-2024;9;24422;Y1;3.2;Filosofia - Etica 8;E1
2023-2024;9;24572;Y1;2.0;Español 8;G
2023-2024;9;24572;Y1;2.6;BE BOLIVAR 8;A
2023-2024;9;24572;Y1;2.2;FOOD AND CULTURE;A1
2023-2024;9;24572;Y1;2.3;INTEGRATED MATH 1;C
2023-2024;9;24572;Y1;2.9;ENGLISH 8;H
2023-2024;9;24572;Y1;2.6;ART 8;A2
2023-2024;9;24572;Y1;3.0;ICT 8;A
2023-2024;9;24572;Y1;2.8;SOCIAL STUDIES 8;B
2023-2024;9;24572;Y1;3.1;SCIENCE 8;E
2023-2024;9;24572;Y1;2.6;HEALTH 8;D2
2023-2024;9;24572;Y1;P;RELIGION;A
2023-2024;9;24572;Y1;3.2;Educación Física 8;F2
2023-2024;9;24572;Y1;2.3;Filosofia - Etica 8;D1
2023-2024;9;24723;Y1;2.1;Español 8;C
2023-2024;9;24723;Y1;3.4;BE BOLIVAR 8;A
2023-2024;9;24723;Y1;2.5;INTEGRATED MATH 1;G
2023-2024;9;24723;Y1;3.8;READING WORKSHOP 8;A2
2023-2024;9;24723;Y1;2.7;ENGLISH 8;H
2023-2024;9;24723;Y1;2.9;ICT 8;A
2023-2024;9;24723;Y1;3.6;LEADERSHIP 8;A1
2023-2024;9;24723;Y1;2.4;SOCIAL STUDIES 8;B
2023-2024;9;24723;Y1;3.2;SCIENCE 8;E
2023-2024;9;24723;Y1;2.9;HEALTH 8;D2
2023-2024;9;24723;Y1;P;RELIGION;A
2023-2024;9;24723;Y1;3.5;Educación Física 8;F1
2023-2024;9;24723;Y1;2.5;Filosofia - Etica 8;D1
2023-2024;9;24874;Y1;2.8;Español 8;E
2023-2024;9;24874;Y1;4.0;BE BOLIVAR 8;A
2023-2024;9;24874;Y1;4.0;ARTIFICIAL INTELLIGENCE;A1
2023-2024;9;24874;Y1;3.6;INTEGRATED MATH 1;G
2023-2024;9;24874;Y1;4.0;BAND ADVANCED 8;A2
2023-2024;9;24874;Y1;3.5;ENGLISH 8 HONORS;B
2023-2024;9;24874;Y1;3.6;ICT 8;A
2023-2024;9;24874;Y1;3.4;SOCIAL STUDIES 8;D
2023-2024;9;24874;Y1;3.8;SCIENCE 8;C
2023-2024;9;24874;Y1;3.1;HEALTH 8;H2
2023-2024;9;24874;Y1;P;RELIGION;A
2023-2024;9;24874;Y1;3.4;Educación Física 8;F2
2023-2024;9;24874;Y1;3.3;Filosofia - Etica 8;H1
2023-2024;9;26883;Y1;2.7;Español 8;G
2023-2024;9;26883;Y1;3.3;BE BOLIVAR 8;A
2023-2024;9;26883;Y1;3.5;FOOD AND CULTURE;A1
2023-2024;9;26883;Y1;3.6;INVENTORS WORKSHOP 8;A2
2023-2024;9;26883;Y1;3.3;INTEGRATED MATH 1;C
2023-2024;9;26883;Y1;3.2;ENGLISH 8;H
2023-2024;9;26883;Y1;3.3;ICT 8;A
2023-2024;9;26883;Y1;3.1;SOCIAL STUDIES 8;B
2023-2024;9;26883;Y1;3.3;SCIENCE 8;E
2023-2024;9;26883;Y1;3.4;HEALTH 8;D2
2023-2024;9;26883;Y1;P;RELIGION;A
2023-2024;9;26883;Y1;3.5;Educación Física 8;F1
2023-2024;9;26883;Y1;3.2;Filosofia - Etica 8;D1
2023-2024;9;27613;Y1;2.7;Español 8;C
2023-2024;9;27613;Y1;3.3;BE BOLIVAR 8;A
2023-2024;9;27613;Y1;3.7;MODEL UNITED NATIONS ADVANCED 8;A2
2023-2024;9;27613;Y1;3.7;INTEGRATED MATH 1;G
2023-2024;9;27613;Y1;2.8;ENGLISH 8;H
2023-2024;9;27613;Y1;3.0;ICT 8;A
2023-2024;9;27613;Y1;3.2;LEADERSHIP 8;A1
2023-2024;9;27613;Y1;3.1;SOCIAL STUDIES 8;B
2023-2024;9;27613;Y1;3.4;SCIENCE 8;E
2023-2024;9;27613;Y1;2.6;HEALTH 8;D2
2023-2024;9;27613;Y1;P;RELIGION;A
2023-2024;9;27613;Y1;3.4;Educación Física 8;F2
2023-2024;9;27613;Y1;2.5;Filosofia - Etica 8;D1
2023-2024;9;27812;Y1;3.0;Educación Física 9;D5
2023-2024;9;27812;Y1;2.7;WORLD HISTORY 9;H
2023-2024;9;27812;Y1;P;ETHICS;A
2023-2024;9;27812;Y1;3.8;READING WORKSHOP 9;G2
2023-2024;9;27812;Y1;2.2;INTEGRATED MATH 2;A
2023-2024;9;27812;Y1;2.8;Study Skills HS;G1
2023-2024;9;27812;Y1;2.0;Estudios de Colombia y América Latina 1;F
2023-2024;9;27812;Y1;1.9;BIOLOGY 9;E
2023-2024;9;27812;Y1;1.7;ESPAÑOL 9;B
2023-2024;9;27812;Y1;2.3;ENGLISH 9;C
2023-2024;9;27812;Y1;P;RELIGION;A
2023-2024;9;28092;Y1;2.9;Español 8;G
2023-2024;9;28092;Y1;3.6;BE BOLIVAR 8;A
2023-2024;9;28092;Y1;3.2;INVENTORS WORKSHOP 8;A2
2023-2024;9;28092;Y1;3.5;DEPORTES Y FITNESS 8;A1
2023-2024;9;28092;Y1;3.1;INTEGRATED MATH 1;D
2023-2024;9;28092;Y1;2.6;ENGLISH 8;C
2023-2024;9;28092;Y1;2.9;ICT 8;A
2023-2024;9;28092;Y1;2.7;SOCIAL STUDIES 8;E
2023-2024;9;28092;Y1;3.4;SCIENCE 8;B
2023-2024;9;28092;Y1;3.2;HEALTH 8;H2
2023-2024;9;28092;Y1;P;RELIGION;A
2023-2024;9;28092;Y1;3.6;Educación Física 8;F1
2023-2024;9;28092;Y1;3.0;Filosofia - Etica 8;H1
2023-2024;9;28182;Y1;2.9;Español 8;G
2023-2024;9;28182;Y1;3.6;BE BOLIVAR 8;A
2023-2024;9;28182;Y1;3.1;DEPORTES Y FITNESS 8;A2
2023-2024;9;28182;Y1;2.7;INTEGRATED MATH 1;C
2023-2024;9;28182;Y1;3.9;READING WORKSHOP 8;A1
2023-2024;9;28182;Y1;3.4;ENGLISH 8;H
2023-2024;9;28182;Y1;3.4;ICT 8;A
2023-2024;9;28182;Y1;2.9;SOCIAL STUDIES 8;B
2023-2024;9;28182;Y1;3.4;SCIENCE 8;E
2023-2024;9;28182;Y1;3.6;HEALTH 8;D2
2023-2024;9;28182;Y1;P;RELIGION;A
2023-2024;9;28182;Y1;3.5;Educación Física 8;F4
2023-2024;9;28182;Y1;3.1;Filosofia - Etica 8;D1
2023-2024;9;28463;Y1;2.9;Español 8;H
2023-2024;9;28463;Y1;3.4;BE BOLIVAR 8;A
2023-2024;9;28463;Y1;3.9;MODEL UNITED NATIONS ADVANCED 8;A2
2023-2024;9;28463;Y1;2.5;INTEGRATED MATH 1;D
2023-2024;9;28463;Y1;3.8;READING WORKSHOP 8;A1
2023-2024;9;28463;Y1;3.2;ENGLISH 8;C
2023-2024;9;28463;Y1;2.8;ICT 8;A
2023-2024;9;28463;Y1;3.2;SOCIAL STUDIES 8;E
2023-2024;9;28463;Y1;3.0;SCIENCE 8;B
2023-2024;9;28463;Y1;3.2;HEALTH 8;G2
2023-2024;9;28463;Y1;P;RELIGION;A
2023-2024;9;28463;Y1;3.2;Educación Física 8;F1
2023-2024;9;28463;Y1;2.8;Filosofia - Etica 8;G1
2023-2024;9;28582;Y1;2.6;Español 8;C
2023-2024;9;28582;Y1;2.4;BE BOLIVAR 8;A
2023-2024;9;28582;Y1;2.8;INVENTORS WORKSHOP 8;A2
2023-2024;9;28582;Y1;2.8;INTEGRATED MATH 1;G
2023-2024;9;28582;Y1;3.1;ENGLISH 8;H
2023-2024;9;28582;Y1;3.1;ICT 8;A
2023-2024;9;28582;Y1;3.0;LEADERSHIP 8;A1
2023-2024;9;28582;Y1;2.5;SOCIAL STUDIES 8;B
2023-2024;9;28582;Y1;2.9;SCIENCE 8;E
2023-2024;9;28582;Y1;3.4;HEALTH 8;D2
2023-2024;9;28582;Y1;P;RELIGION;A
2023-2024;9;28582;Y1;3.0;Educación Física 8;F1
2023-2024;9;28582;Y1;2.6;Filosofia - Etica 8;D1
2023-2024;9;28662;Y1;3.5;Español 8;B
2023-2024;9;28662;Y1;3.5;BE BOLIVAR 8;A
2023-2024;9;28662;Y1;3.7;FOOD AND CULTURE;A1
2023-2024;9;28662;Y1;3.7;INVENTORS WORKSHOP 8;A2
2023-2024;9;28662;Y1;3.0;INTEGRATED MATH 1;C
2023-2024;9;28662;Y1;3.7;ENGLISH 8;G
2023-2024;9;28662;Y1;3.8;ICT 8;A
2023-2024;9;28662;Y1;3.2;SOCIAL STUDIES 8;H
2023-2024;9;28662;Y1;3.7;SCIENCE 8;D
2023-2024;9;28662;Y1;3.7;HEALTH 8;E2
2023-2024;9;28662;Y1;P;RELIGION;A
2023-2024;9;28662;Y1;3.6;Educación Física 8;F3
2023-2024;9;28662;Y1;3.5;Filosofia - Etica 8;E1
2023-2024;9;28702;Y1;2.8;Español 8;B
2023-2024;9;28702;Y1;3.1;BE BOLIVAR 8;A
2023-2024;9;28702;Y1;4.0;Video Producción y Post-Producción;A1
2023-2024;9;28702;Y1;3.0;INTEGRATED MATH 1;G
2023-2024;9;28702;Y1;3.8;READING WORKSHOP 8;A2
2023-2024;9;28702;Y1;3.1;ENGLISH 8;C
2023-2024;9;28702;Y1;3.7;ICT 8;A
2023-2024;9;28702;Y1;2.5;SOCIAL STUDIES 8;E
2023-2024;9;28702;Y1;3.3;SCIENCE 8;D
2023-2024;9;28702;Y1;3.6;HEALTH 8;H2
2023-2024;9;28702;Y1;P;RELIGION;A
2023-2024;9;28702;Y1;3.7;Educación Física 8;F4
2023-2024;9;28702;Y1;3.4;Filosofia - Etica 8;H1
2023-2024;9;28991;Y1;1.8;Español 8;H
2023-2024;9;28991;Y1;2.1;BE BOLIVAR 8;A
2023-2024;9;28991;Y1;3.1;INVENTORS WORKSHOP 8;A2
2023-2024;9;28991;Y1;3.1;DEPORTES Y FITNESS 8;A1
2023-2024;9;28991;Y1;2.3;INTEGRATED MATH 1;D
2023-2024;9;28991;Y1;2.7;ENGLISH 8;C
2023-2024;9;28991;Y1;2.7;ICT 8;A
2023-2024;9;28991;Y1;2.6;SOCIAL STUDIES 8;E
2023-2024;9;28991;Y1;3.2;SCIENCE 8;B
2023-2024;9;28991;Y1;3.5;HEALTH 8;G2
2023-2024;9;28991;Y1;P;RELIGION;A
2023-2024;9;28991;Y1;3.1;Educación Física 8;F2
2023-2024;9;28991;Y1;2.6;Filosofia - Etica 8;G1
2023-2024;9;29032;Y1;2.4;Español 8;B
2023-2024;9;29032;Y1;2.7;BE BOLIVAR 8;A
2023-2024;9;29032;Y1;3.6;DEPORTES Y FITNESS 8;A1
2023-2024;9;29032;Y1;2.9;INTEGRATED MATH 1;D
2023-2024;9;29032;Y1;3.1;ENGLISH 8;C
2023-2024;9;29032;Y1;3.0;ART 8;A2
2023-2024;9;29032;Y1;2.8;ICT 8;A
2023-2024;9;29032;Y1;3.0;SOCIAL STUDIES 8;E
2023-2024;9;29032;Y1;3.5;SCIENCE 8;H
2023-2024;9;29032;Y1;2.6;HEALTH 8;G2
2023-2024;9;29032;Y1;P;RELIGION;A
2023-2024;9;29032;Y1;3.5;Educación Física 8;F2
2023-2024;9;29032;Y1;2.7;Filosofia - Etica 8;G1
2023-2024;9;29102;Y1;3.6;Español 8;C
2023-2024;9;29102;Y1;4.0;BE BOLIVAR 8;A
2023-2024;9;29102;Y1;4.0;Video Producción y Post-Producción;A1
2023-2024;9;29102;Y1;3.9;DEPORTES Y FITNESS 8;A2
2023-2024;9;29102;Y1;4.0;INTEGRATED MATH 1 HONORS;E
2023-2024;9;29102;Y1;3.8;ENGLISH 8 HONORS;B
2023-2024;9;29102;Y1;3.4;ICT 8;A
2023-2024;9;29102;Y1;3.9;SOCIAL STUDIES 8;D
2023-2024;9;29102;Y1;3.9;SCIENCE 8;H
2023-2024;9;29102;Y1;3.6;HEALTH 8;G2
2023-2024;9;29102;Y1;P;RELIGION;A
2023-2024;9;29102;Y1;3.7;Educación Física 8;F2
2023-2024;9;29102;Y1;3.8;Filosofia - Etica 8;G1
2023-2024;9;29312;Y1;2.9;Español 8;H
2023-2024;9;29312;Y1;3.3;BE BOLIVAR 8;A
2023-2024;9;29312;Y1;2.8;FOOD AND CULTURE;A1
2023-2024;9;29312;Y1;3.3;INTEGRATED MATH 1;B
2023-2024;9;29312;Y1;3.4;ENGLISH 8;D
2023-2024;9;29312;Y1;2.9;ART 8;A2
2023-2024;9;29312;Y1;3.4;ICT 8;A
2023-2024;9;29312;Y1;3.3;SOCIAL STUDIES 8;G
2023-2024;9;29312;Y1;3.4;SCIENCE 8;E
2023-2024;9;29312;Y1;3.5;HEALTH 8;C2
2023-2024;9;29312;Y1;P;RELIGION;A
2023-2024;9;29312;Y1;3.5;Educación Física 8;F1
2023-2024;9;29312;Y1;3.2;Filosofia - Etica 8;C1
2023-2024;9;29401;Y1;2.1;Español 8;B
2023-2024;9;29401;Y1;2.4;BE BOLIVAR 8;A
2023-2024;9;29401;Y1;3.9;Teatro Musical 8;A2
2023-2024;9;29401;Y1;3.5;DEPORTES Y FITNESS 8;A1
2023-2024;9;29401;Y1;2.3;INTEGRATED MATH 1;C
2023-2024;9;29401;Y1;3.3;ENGLISH 8;G
2023-2024;9;29401;Y1;3.2;ICT 8;A
2023-2024;9;29401;Y1;2.6;SOCIAL STUDIES 8;H
2023-2024;9;29401;Y1;2.9;SCIENCE 8;D
2023-2024;9;29401;Y1;3.4;HEALTH 8;E2
2023-2024;9;29401;Y1;P;RELIGION;A
2023-2024;9;29401;Y1;3.3;Educación Física 8;F1
2023-2024;9;29401;Y1;3.0;Filosofia - Etica 8;E1
2023-2024;9;29912;Y1;2.4;Español 8;B
2023-2024;9;29912;Y1;2.8;BE BOLIVAR 8;A
2023-2024;9;29912;Y1;3.2;DEPORTES Y FITNESS 8;A1
2023-2024;9;29912;Y1;2.5;INTEGRATED MATH 1;C
2023-2024;9;29912;Y1;3.8;READING WORKSHOP 8;A2
2023-2024;9;29912;Y1;2.7;ENGLISH 8;D
2023-2024;9;29912;Y1;3.1;ICT 8;A
2023-2024;9;29912;Y1;2.4;SOCIAL STUDIES 8;G
2023-2024;9;29912;Y1;2.9;SCIENCE 8;H
2023-2024;9;29912;Y1;3.0;HEALTH 8;E2
2023-2024;9;29912;Y1;P;RELIGION;A
2023-2024;9;29912;Y1;3.5;Educación Física 8;F2
2023-2024;9;29912;Y1;2.7;Filosofia - Etica 8;E1
2023-2024;9;30022;Y1;2.8;Español 8;G
2023-2024;9;30022;Y1;3.5;BE BOLIVAR 8;A
2023-2024;9;30022;Y1;3.9;Expresión 8;A1
2023-2024;9;30022;Y1;4.0;MODEL UNITED NATIONS ADVANCED 8;A2
2023-2024;9;30022;Y1;3.2;INTEGRATED MATH 1;B
2023-2024;9;30022;Y1;3.2;ENGLISH 8;C
2023-2024;9;30022;Y1;3.3;ICT 8;A
2023-2024;9;30022;Y1;2.9;SOCIAL STUDIES 8;E
2023-2024;9;30022;Y1;3.7;SCIENCE 8;D
2023-2024;9;30022;Y1;3.1;HEALTH 8;H2
2023-2024;9;30022;Y1;P;RELIGION;A
2023-2024;9;30022;Y1;3.3;Educación Física 8;F4
2023-2024;9;30022;Y1;2.9;Filosofia - Etica 8;H1
2023-2024;9;30481;Y1;2.6;Español 8;B
2023-2024;9;30481;Y1;3.4;BE BOLIVAR 8;A
2023-2024;9;30481;Y1;3.2;DEPORTES Y FITNESS 8;A2
2023-2024;9;30481;Y1;3.3;INTEGRATED MATH 1 HONORS;E
2023-2024;9;30481;Y1;3.3;ENGLISH 8;D
2023-2024;9;30481;Y1;2.8;ICT 8;A
2023-2024;9;30481;Y1;3.1;LEADERSHIP 8;A1
2023-2024;9;30481;Y1;3.1;SOCIAL STUDIES 8;G
2023-2024;9;30481;Y1;3.2;SCIENCE 8;H
2023-2024;9;30481;Y1;2.6;HEALTH 8;C2
2023-2024;9;30481;Y1;P;RELIGION;A
2023-2024;9;30481;Y1;3.2;Educación Física 8;F5
2023-2024;9;30481;Y1;2.8;Filosofia - Etica 8;C1
2023-2024;9;30761;Y1;3.4;Español 8;C
2023-2024;9;30761;Y1;3.8;BE BOLIVAR 8;A
2023-2024;9;30761;Y1;2.4;FOOD AND CULTURE;A1
2023-2024;9;30761;Y1;3.6;INTEGRATED MATH 1;G
2023-2024;9;30761;Y1;3.4;ENGLISH 8;H
2023-2024;9;30761;Y1;3.6;ART 8;A2
2023-2024;9;30761;Y1;3.7;ICT 8;A
2023-2024;9;30761;Y1;3.0;SOCIAL STUDIES 8;B
2023-2024;9;30761;Y1;3.7;SCIENCE 8;D
2023-2024;9;30761;Y1;3.7;HEALTH 8;E2
2023-2024;9;30761;Y1;P;RELIGION;A
2023-2024;9;30761;Y1;3.8;Educación Física 8;F3
2023-2024;9;30761;Y1;3.5;Filosofia - Etica 8;E1
2023-2024;9;30781;Y1;3.7;Español 8;G
2023-2024;9;30781;Y1;4.0;BE BOLIVAR 8;A
2023-2024;9;30781;Y1;4.0;MODEL UNITED NATIONS ADVANCED 8;A2
2023-2024;9;30781;Y1;3.6;INTEGRATED MATH 1 HONORS;E
2023-2024;9;30781;Y1;3.9;ENGLISH 8 HONORS;B
2023-2024;9;30781;Y1;3.8;ART 8;A1
2023-2024;9;30781;Y1;3.9;ICT 8;A
2023-2024;9;30781;Y1;3.7;SOCIAL STUDIES 8;D
2023-2024;9;30781;Y1;3.9;SCIENCE 8;H
2023-2024;9;30781;Y1;3.9;HEALTH 8;C2
2023-2024;9;30781;Y1;P;RELIGION;A
2023-2024;9;30781;Y1;3.3;Educación Física 8;F4
2023-2024;9;30781;Y1;3.8;Filosofia - Etica 8;C1
2023-2024;9;30891;Y1;1.7;Español 8;E
2023-2024;9;30891;Y1;2.6;BE BOLIVAR 8;A
2023-2024;9;30891;Y1;3.3;VOCAL ADVANCED 8;A2
2023-2024;9;30891;Y1;2.1;INTEGRATED MATH 1;C
2023-2024;9;30891;Y1;3.0;ENGLISH 8;H
2023-2024;9;30891;Y1;--;ART 8;A1
2023-2024;9;30891;Y1;2.0;ICT 8;A
2023-2024;9;30891;Y1;2.0;SOCIAL STUDIES 8;B
2023-2024;9;30891;Y1;2.6;SCIENCE 8;D
2023-2024;9;30891;Y1;2.8;HEALTH 8;G2
2023-2024;9;30891;Y1;P;RELIGION;A
2023-2024;9;30891;Y1;2.3;Educación Física 8;F5
2023-2024;9;30891;Y1;2.3;Filosofia - Etica 8;G1
2023-2024;9;30961;Y1;2.3;Español 8;E
2023-2024;9;30961;Y1;2.8;BE BOLIVAR 8;A
2023-2024;9;30961;Y1;2.0;INTEGRATED MATH 1;B
2023-2024;9;30961;Y1;3.9;READING WORKSHOP 8;A1
2023-2024;9;30961;Y1;2.7;ENGLISH 8;G
2023-2024;9;30961;Y1;3.3;ART 8;A2
2023-2024;9;30961;Y1;3.1;ICT 8;A
2023-2024;9;30961;Y1;2.2;SOCIAL STUDIES 8;H
2023-2024;9;30961;Y1;2.7;SCIENCE 8;D
2023-2024;9;30961;Y1;2.5;HEALTH 8;C2
2023-2024;9;30961;Y1;P;RELIGION;A
2023-2024;9;30961;Y1;3.3;Educación Física 8;F5
2023-2024;9;30961;Y1;2.9;Filosofia - Etica 8;C1
2023-2024;9;30972;Y1;3.2;Español 8;B
2023-2024;9;30972;Y1;3.8;BE BOLIVAR 8;A
2023-2024;9;30972;Y1;4.0;Video Producción y Post-Producción;A1
2023-2024;9;30972;Y1;4.0;DEPORTES Y FITNESS 8;A2
2023-2024;9;30972;Y1;3.1;INTEGRATED MATH 1;C
2023-2024;9;30972;Y1;3.4;ENGLISH 8;D
2023-2024;9;30972;Y1;3.8;ICT 8;A
2023-2024;9;30972;Y1;3.1;SOCIAL STUDIES 8;G
2023-2024;9;30972;Y1;3.6;SCIENCE 8;H
2023-2024;9;30972;Y1;3.8;HEALTH 8;E2
2023-2024;9;30972;Y1;P;RELIGION;A
2023-2024;9;30972;Y1;3.8;Educación Física 8;F3
2023-2024;9;30972;Y1;3.4;Filosofia - Etica 8;E1
2023-2024;9;31001;Y1;3.3;Español 8;B
2023-2024;9;31001;Y1;3.8;BE BOLIVAR 8;A
2023-2024;9;31001;Y1;3.4;FOOD AND CULTURE;A1
2023-2024;9;31001;Y1;3.8;INVENTORS WORKSHOP 8;A2
2023-2024;9;31001;Y1;3.2;INTEGRATED MATH 1 HONORS;E
2023-2024;9;31001;Y1;3.6;ENGLISH 8;D
2023-2024;9;31001;Y1;3.6;ICT 8;A
2023-2024;9;31001;Y1;3.6;SOCIAL STUDIES 8;G
2023-2024;9;31001;Y1;3.4;SCIENCE 8;H
2023-2024;9;31001;Y1;3.8;HEALTH 8;C2
2023-2024;9;31001;Y1;P;RELIGION;A
2023-2024;9;31001;Y1;3.7;Educación Física 8;F2
2023-2024;9;31001;Y1;3.2;Filosofia - Etica 8;C1
2023-2024;9;31092;Y1;2.0;Español 8;H
2023-2024;9;31092;Y1;2.6;BE BOLIVAR 8;A
2023-2024;9;31092;Y1;2.8;DEPORTES Y FITNESS 8;A1
2023-2024;9;31092;Y1;2.6;INTEGRATED MATH 1;B
2023-2024;9;31092;Y1;3.8;READING WORKSHOP 8;A2
2023-2024;9;31092;Y1;2.3;ENGLISH 8;C
2023-2024;9;31092;Y1;2.6;ICT 8;A
2023-2024;9;31092;Y1;2.7;SOCIAL STUDIES 8;E
2023-2024;9;31092;Y1;2.4;SCIENCE 8;D
2023-2024;9;31092;Y1;2.5;HEALTH 8;G2
2023-2024;9;31092;Y1;P;RELIGION;A
2023-2024;9;31092;Y1;3.2;Educación Física 8;F1
2023-2024;9;31092;Y1;2.1;Filosofia - Etica 8;G1
2023-2024;9;31132;Y1;3.5;Español 8;G
2023-2024;9;31132;Y1;3.8;BE BOLIVAR 8;A
2023-2024;9;31132;Y1;4.0;MODEL UNITED NATIONS ADVANCED 8;A2
2023-2024;9;31132;Y1;3.7;Robotica 8;A1
2023-2024;9;31132;Y1;3.8;INTEGRATED MATH 1 HONORS;E
2023-2024;9;31132;Y1;3.8;ENGLISH 8 HONORS;B
2023-2024;9;31132;Y1;3.6;ICT 8;A
2023-2024;9;31132;Y1;3.4;SOCIAL STUDIES 8;D
2023-2024;9;31132;Y1;3.7;SCIENCE 8;H
2023-2024;9;31132;Y1;2.9;HEALTH 8;C2
2023-2024;9;31132;Y1;P;RELIGION;A
2023-2024;9;31132;Y1;3.4;Educación Física 8;F1
2023-2024;9;31132;Y1;3.4;Filosofia - Etica 8;C1
2023-2024;9;31142;Y1;3.5;Español 8;E
2023-2024;9;31142;Y1;4.0;BE BOLIVAR 8;A
2023-2024;9;31142;Y1;4.0;Teatro Musical 8;A2
2023-2024;9;31142;Y1;3.8;FOOD AND CULTURE;A1
2023-2024;9;31142;Y1;3.7;INTEGRATED MATH 1;G
2023-2024;9;31142;Y1;3.8;ENGLISH 8 HONORS;B
2023-2024;9;31142;Y1;3.5;ICT 8;A
2023-2024;9;31142;Y1;3.4;SOCIAL STUDIES 8;D
2023-2024;9;31142;Y1;3.7;SCIENCE 8;C
2023-2024;9;31142;Y1;3.7;HEALTH 8;H2
2023-2024;9;31142;Y1;P;RELIGION;A
2023-2024;9;31142;Y1;3.7;Educación Física 8;F3
2023-2024;9;31142;Y1;3.6;Filosofia - Etica 8;H1
2023-2024;9;31192;Y1;2.5;Español 8;E
2023-2024;9;31192;Y1;3.2;BE BOLIVAR 8;A
2023-2024;9;31192;Y1;4.0;Video Producción y Post-Producción;A1
2023-2024;9;31192;Y1;2.0;INTEGRATED MATH 1;B
2023-2024;9;31192;Y1;3.9;BAND ADVANCED 8;A2
2023-2024;9;31192;Y1;3.3;ENGLISH 8;G
2023-2024;9;31192;Y1;2.8;ICT 8;A
2023-2024;9;31192;Y1;2.7;SOCIAL STUDIES 8;H
2023-2024;9;31192;Y1;2.5;SCIENCE 8;C
2023-2024;9;31192;Y1;2.4;HEALTH 8;D2
2023-2024;9;31192;Y1;P;RELIGION;A
2023-2024;9;31192;Y1;3.2;Educación Física 8;F2
2023-2024;9;31192;Y1;2.7;Filosofia - Etica 8;D1
2023-2024;9;31213;Y1;2.7;Español 8;C
2023-2024;9;31213;Y1;3.7;BE BOLIVAR 8;A
2023-2024;9;31213;Y1;3.2;FOOD AND CULTURE;A1
2023-2024;9;31213;Y1;3.6;INTEGRATED MATH 1 HONORS;E
2023-2024;9;31213;Y1;4.0;BAND ADVANCED 8;A2
2023-2024;9;31213;Y1;3.1;ENGLISH 8;H
2023-2024;9;31213;Y1;2.4;ICT 8;A
2023-2024;9;31213;Y1;2.9;SOCIAL STUDIES 8;B
2023-2024;9;31213;Y1;3.6;SCIENCE 8;D
2023-2024;9;31213;Y1;3.4;HEALTH 8;G2
2023-2024;9;31213;Y1;P;RELIGION;A
2023-2024;9;31213;Y1;3.6;Educación Física 8;F2
2023-2024;9;31213;Y1;3.0;Filosofia - Etica 8;G1
2023-2024;9;31241;Y1;2.4;Español 8;B
2023-2024;9;31241;Y1;2.7;BE BOLIVAR 8;A
2023-2024;9;31241;Y1;2.0;FOOD AND CULTURE;A1
2023-2024;9;31241;Y1;3.3;DEPORTES Y FITNESS 8;A2
2023-2024;9;31241;Y1;3.2;INTEGRATED MATH 1;C
2023-2024;9;31241;Y1;2.9;ENGLISH 8;G
2023-2024;9;31241;Y1;2.5;ICT 8;A
2023-2024;9;31241;Y1;2.6;SOCIAL STUDIES 8;H
2023-2024;9;31241;Y1;3.5;SCIENCE 8;D
2023-2024;9;31241;Y1;2.2;HEALTH 8;E2
2023-2024;9;31241;Y1;P;RELIGION;A
2023-2024;9;31241;Y1;2.9;Educación Física 8;F1
2023-2024;9;31241;Y1;2.1;Filosofia - Etica 8;E1
2023-2024;9;31372;Y1;2.9;Español 8;H
2023-2024;9;31372;Y1;3.1;BE BOLIVAR 8;A
2023-2024;9;31372;Y1;3.5;Expresión 8;A1
2023-2024;9;31372;Y1;3.0;INTEGRATED MATH 1;B
2023-2024;9;31372;Y1;2.9;ENGLISH 8;D
2023-2024;9;31372;Y1;3.1;ART 8;A2
2023-2024;9;31372;Y1;3.4;ICT 8;A
2023-2024;9;31372;Y1;2.6;SOCIAL STUDIES 8;G
